i,victim_eth,backrun_eth,route,gross_stable,gas_usdc,net_stable,token
1,5.7375,1.0,"V3 single WETH→USDC",4417.481033,0.0,4417.481033,USDC
2,2.319,1.0,"V3 single WETH→USDC",4417.814484,0.0,4417.814484,USDC
3,3.923,1.0,"V3 single WETH→USDC",4417.742325,0.0,4417.742325,USDC
4,3.874,1.0,"V3 single WETH→USDC",4417.744529,0.0,4417.744529,USDC
5,5.572,1.0,"V3 single WETH→USDC",4417.668143,0.0,4417.668143,USDC
6,5.0555,1.0,"V3 single WETH→USDC",4417.691378,0.0,4417.691378,USDC
7,3.511,1.0,"V3 single WETH→USDC",4417.760859,0.0,4417.760859,USDC
8,4.6585,1.0,"V3 single WETH→USDC",4417.709238,0.0,4417.709238,USDC
9,2.2165,1.0,"V3 single WETH→USDC",4417.819095,0.0,4417.819095,USDC
10,3.361,1.0,"V3 single WETH→USDC",4417.767607,0.0,4417.767607,USDC
11,2.428,1.0,"V3 single WETH→USDC",4417.80958,0.0,4417.80958,USDC
12,5.9775,1.0,"V3 single WETH→USDC",4417.649902,0.0,4417.649902,USDC
13,1.2515,1.0,"V3 single WETH→USDC",4417.862508,0.0,4417.862508,USDC
14,2.0845,1.0,"V3 single WETH→USDC",4417.825034,0.0,4417.825034,USDC
15,2.008,1.0,"V3 single WETH→USDC",4417.828475,0.0,4417.828475,USDC
16,2.1145,1.0,"V3 single WETH→USDC",4417.823684,0.0,4417.823684,USDC
17,1.424,1.0,"V3 single WETH→USDC",4417.854748,0.0,4417.854748,USDC
18,3.8465,1.0,"V3 single WETH→USDC",4417.745766,0.0,4417.745766,USDC
19,1.489,1.0,"V3 single WETH→USDC",4417.851824,0.0,4417.851824,USDC
20,2.4825,1.0,"V3 single WETH→USDC",4417.807129,0.0,4417.807129,USDC
21,2.7575,1.0,"V3 single WETH→USDC",4417.794757,0.0,4417.794757,USDC
22,5.842,1.0,"V3 single WETH→USDC",4417.655997,0.0,4417.655997,USDC
23,5.3965,1.0,"V3 single WETH→USDC",4417.676038,0.0,4417.676038,USDC
24,1.1405,1.0,"V3 single WETH→USDC",4417.867502,0.0,4417.867502,USDC
25,5.5565,1.0,"V3 single WETH→USDC",4417.668841,0.0,4417.668841,USDC